"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,              ,  0.000000    ,  0.000000    ,  139.7917    ,  0.000000    ,  139.7917    ,  0.000000    ,  139.7917    ,  139.7910    ,-0.6537638E-03,-0.4676701E-03,  139.7917    ,  139.7910    ,  139.7917    ,-0.6537638E-03,-0.4676701E-03,-0.4676701E-03
         0.033,              ,  0.000000    ,  0.000000    ,  414.7917    ,  0.000000    ,  414.7917    ,  0.000000    ,  414.7917    ,  414.5012    ,-0.2905147    ,-0.7003871E-01,  414.7917    ,  554.2922    ,  554.5833    ,-0.2911685    ,-0.5250220E-01,-0.5250220E-01
         0.050,              ,  0.000000    ,  0.000000    ,  689.7917    ,  0.000000    ,  689.7917    ,  0.000000    ,  689.7917    ,  689.3000    ,-0.4916931    ,-0.7128139E-01,  689.7917    ,  1243.592    ,  1244.375    ,-0.7828616    ,-0.6291203E-01,-0.6291203E-01
         0.067,              ,  0.000000    ,  0.000000    ,  964.7917    ,  0.000000    ,  964.7917    ,  0.000000    ,  964.7917    ,  963.0212    , -1.770514    ,-0.1835125    ,  964.7917    ,  2206.613    ,  2209.167    , -2.553375    ,-0.1155809    ,-0.1155809    
         0.083,              ,  0.000000    ,  0.000000    ,  1239.792    ,  0.000000    ,  1239.792    ,  0.000000    ,  1239.792    ,  1238.307    , -1.484708    ,-0.1197546    ,  1239.792    ,  3444.920    ,  3448.958    , -4.038083    ,-0.1170812    ,-0.1170812    
         0.100,              ,  0.000000    ,  0.000000    ,  1514.792    ,  0.000000    ,  1514.792    ,  0.000000    ,  1514.792    ,  1512.445    , -2.347072    ,-0.1549436    ,  1514.792    ,  4957.365    ,  4963.750    , -6.385156    ,-0.1286357    ,-0.1286357    
         0.117,              ,  0.000000    ,  0.000000    ,  1789.792    ,  0.000000    ,  1789.792    ,  0.000000    ,  1789.792    ,  1788.352    , -1.439193    ,-0.8041120E-01,  1789.792    ,  6745.717    ,  6753.542    , -7.824349    ,-0.1158555    ,-0.1158555    
         0.133,              ,  0.000000    ,  0.000000    ,  2064.792    ,  0.000000    ,  2064.792    ,  0.000000    ,  2064.792    ,  2062.565    , -2.226309    ,-0.1078225    ,  2064.792    ,  8808.283    ,  8818.333    , -10.05066    ,-0.1139746    ,-0.1139746    
         0.150,              ,  0.000000    ,  0.000000    ,  2339.792    ,  0.000000    ,  2339.792    ,  0.000000    ,  2339.792    ,  2336.599    , -3.192468    ,-0.1364424    ,  2339.792    ,  11144.88    ,  11158.12    , -13.24313    ,-0.1186859    ,-0.1186859    
         0.167,              ,  0.000000    ,  0.000000    ,  2614.792    ,  0.000000    ,  2614.792    ,  0.000000    ,  2614.792    ,  2612.471    , -2.320630    ,-0.8875010E-01,  2614.792    ,  13757.35    ,  13772.92    , -15.56376    ,-0.1130026    ,-0.1130026    
         0.183,              ,  0.000000    ,  0.000000    ,  2889.792    ,  0.000000    ,  2889.792    ,  0.000000    ,  2889.792    ,  2879.007    , -10.78438    ,-0.3731888    ,  2889.792    ,  16636.36    ,  16662.71    , -26.34814    ,-0.1581264    ,-0.1581264    
         0.200,              ,  0.000000    ,  0.000000    ,  3164.792    ,  0.000000    ,  3164.792    ,  0.000000    ,  3164.792    ,  3156.549    , -8.243136    ,-0.2604638    ,  3164.792    ,  19792.91    ,  19827.50    , -34.59127    ,-0.1744611    ,-0.1744611    
         0.217,              ,  0.000000    ,  0.000000    ,  3439.792    ,  0.000000    ,  3439.792    ,  0.000000    ,  3439.792    ,  3431.109    , -8.682175    ,-0.2524041    ,  3439.792    ,  23224.02    ,  23267.29    , -43.27345    ,-0.1859840    ,-0.1859840    
         0.233,              ,  0.000000    ,  0.000000    ,  3714.792    ,  0.000000    ,  3714.792    ,  0.000000    ,  3714.792    ,  3699.687    , -15.10430    ,-0.4065989    ,  3714.792    ,  26923.71    ,  26982.08    , -58.37775    ,-0.2163575    ,-0.2163575    
         0.250,              ,  0.000000    ,  0.000000    ,  3989.792    ,  0.000000    ,  3989.792    ,  0.000000    ,  3989.792    ,  3972.010    , -17.78173    ,-0.4456807    ,  3989.792    ,  30895.72    ,  30971.88    , -76.15948    ,-0.2458988    ,-0.2458988    
         0.267,              ,  0.000000    ,  0.000000    ,  4264.792    ,  0.000000    ,  4264.792    ,  0.000000    ,  4264.792    ,  4249.513    , -15.27908    ,-0.3582610    ,  4264.792    ,  35145.23    ,  35236.67    , -91.43856    ,-0.2594983    ,-0.2594983    
         0.283,              ,  0.000000    ,  0.000000    ,  4539.792    ,  0.000000    ,  4539.792    ,  0.000000    ,  4539.792    ,  4527.372    , -12.41981    ,-0.2735767    ,  4539.792    ,  39672.60    ,  39776.46    , -103.8584    ,-0.2611051    ,-0.2611051    
         0.300,              ,  0.000000    ,  0.000000    ,  4814.792    ,  0.000000    ,  4814.792    ,  0.000000    ,  4814.792    ,  4795.469    , -19.32236    ,-0.4013124    ,  4814.792    ,  44468.07    ,  44591.25    , -123.1807    ,-0.2762442    ,-0.2762442    
         0.317,              ,  0.000000    ,  0.000000    ,  5089.792    ,  0.000000    ,  5089.792    ,  0.000000    ,  5089.792    ,  5071.637    , -18.15463    ,-0.3566871    ,  5089.792    ,  49539.71    ,  49681.04    , -141.3354    ,-0.2844855    ,-0.2844855    
         0.333,              ,  0.000000    ,  0.000000    ,  5364.792    ,  0.000000    ,  5364.792    ,  0.000000    ,  5364.792    ,  5352.165    , -12.62625    ,-0.2353539    ,  5364.792    ,  54891.87    ,  55045.83    , -153.9616    ,-0.2796971    ,-0.2796971    
         0.350,              ,  0.000000    ,  0.000000    ,  5639.792    ,  0.000000    ,  5639.792    ,  0.000000    ,  5639.792    ,  5629.730    , -10.06186    ,-0.1784083    ,  5639.792    ,  60521.60    ,  60685.62    , -164.0235    ,-0.2702839    ,-0.2702839    
         0.367,              ,  0.000000    ,  0.000000    ,  5914.792    ,  0.000000    ,  5914.792    ,  0.000000    ,  5914.792    ,  5898.672    , -16.11994    ,-0.2725361    ,  5914.792    ,  66420.27    ,  66600.42    , -180.1434    ,-0.2704839    ,-0.2704839    
         0.383,              ,  0.000000    ,  0.000000    ,  6189.792    ,  0.000000    ,  6189.792    ,  0.000000    ,  6189.792    ,  6173.620    , -16.17139    ,-0.2612591    ,  6189.792    ,  72593.89    ,  72790.21    , -196.3148    ,-0.2696995    ,-0.2696995    
         0.400,              ,  0.000000    ,  0.000000    ,  6464.792    ,  0.000000    ,  6464.792    ,  0.000000    ,  6464.792    ,  6442.403    , -22.38860    ,-0.3463159    ,  6464.792    ,  79036.30    ,  79255.00    , -218.7034    ,-0.2759490    ,-0.2759490    
         0.417,              ,  0.000000    ,  0.000000    ,  6739.792    ,  0.000000    ,  6739.792    ,  0.000000    ,  6739.792    ,  6723.439    , -16.35271    ,-0.2426294    ,  6739.792    ,  85759.74    ,  85994.79    , -235.0561    ,-0.2733376    ,-0.2733376    
         0.433,              ,  0.000000    ,  0.000000    ,  7014.792    ,  0.000000    ,  7014.792    ,  0.000000    ,  7014.792    ,  6990.479    , -24.31303    ,-0.3465966    ,  7014.792    ,  92750.21    ,  93009.58    , -259.3691    ,-0.2788628    ,-0.2788628    
         0.450,              ,  0.000000    ,  0.000000    ,  7289.792    ,  0.000000    ,  7289.792    ,  0.000000    ,  7289.792    ,  7267.196    , -22.59547    ,-0.3099605    ,  7289.792    ,  100017.4    ,  100299.4    , -281.9646    ,-0.2811230    ,-0.2811230    
         0.467,              ,  0.000000    ,  0.000000    ,  7564.792    ,  0.000000    ,  7564.792    ,  0.000000    ,  7564.792    ,  7543.685    , -21.10683    ,-0.2790140    ,  7564.792    ,  107561.1    ,  107864.2    , -303.0714    ,-0.2809751    ,-0.2809751    
         0.483,              ,  0.000000    ,  0.000000    ,  7839.792    ,  0.000000    ,  7839.792    ,  0.000000    ,  7839.792    ,  7819.132    , -20.65995    ,-0.2635268    ,  7839.792    ,  115380.2    ,  115704.0    , -323.7314    ,-0.2797929    ,-0.2797929    
         0.500,              ,  0.000000    ,  0.000000    ,  8114.792    ,  0.000000    ,  8114.792    ,  0.000000    ,  8114.792    ,  8087.009    , -27.78314    ,-0.3423765    ,  8114.792    ,  123467.2    ,  123818.8    , -351.5145    ,-0.2838944    ,-0.2838944    
         0.517,              ,  0.000000    ,  0.000000    ,  8389.792    ,  0.000000    ,  8389.792    ,  0.000000    ,  8389.792    ,  8357.406    , -32.38599    ,-0.3860166    ,  8389.792    ,  131824.6    ,  132208.5    , -383.9005    ,-0.2903750    ,-0.2903750    
         0.533,              ,  0.000000    ,  0.000000    ,  8664.792    ,  0.000000    ,  8664.792    ,  0.000000    ,  8664.792    ,  8625.090    , -39.70164    ,-0.4581949    ,  8664.792    ,  140449.7    ,  140873.3    , -423.6022    ,-0.3006972    ,-0.3006972    
         0.550,              ,  0.000000    ,  0.000000    ,  8939.792    ,  0.000000    ,  8939.792    ,  0.000000    ,  8939.792    ,  8901.663    , -38.12888    ,-0.4265075    ,  8939.792    ,  149351.4    ,  149813.1    , -461.7311    ,-0.3082047    ,-0.3082047    
         0.567,              ,  0.000000    ,  0.000000    ,  9214.792    ,  0.000000    ,  9214.792    ,  0.000000    ,  9214.792    ,  9185.118    , -29.67366    ,-0.3220221    ,  9214.792    ,  158536.5    ,  159027.9    , -491.4047    ,-0.3090053    ,-0.3090053    
         0.583,              ,  0.000000    ,  0.000000    ,  9489.792    ,  0.000000    ,  9489.792    ,  0.000000    ,  9489.792    ,  9468.328    , -21.46384    ,-0.2261782    ,  9489.792    ,  168004.8    ,  168517.7    , -512.8686    ,-0.3043410    ,-0.3043410    
         0.600,              ,  0.000000    ,  0.000000    ,  9764.792    ,  0.000000    ,  9764.792    ,  0.000000    ,  9764.792    ,  9733.002    , -31.78942    ,-0.3255514    ,  9764.792    ,  177737.8    ,  178282.5    , -544.6580    ,-0.3055028    ,-0.3055028    
         0.617,              ,  0.000000    ,  960.7968    ,  10039.79    ,  0.000000    ,  10039.79    ,  960.7968    ,  9078.995    ,  9077.216    , -1.778891    ,-0.1617087E-01,  11000.59    ,  186815.1    ,  189283.1    , -546.4369    ,-0.2886876    ,-0.2886876    
         0.633,              ,  0.000000    ,  1975.857    ,  10314.79    ,  0.000000    ,  10314.79    ,  1975.857    ,  8338.934    ,  8337.313    , -1.621751    ,-0.1319500E-01,  12290.65    ,  195152.4    ,  201573.7    , -548.0586    ,-0.2718899    ,-0.2718899    
         0.650,              ,  0.000000    ,  2641.673    ,  10589.79    ,  0.000000    ,  10589.79    ,  2641.673    ,  7948.118    ,  7948.688    , 0.5696757    , 0.4305462E-02,  13231.47    ,  203101.1    ,  214805.2    , -547.4889    ,-0.2548769    ,-0.2548769    
         0.667,              ,  0.000000    ,  2798.421    ,  10864.79    ,  0.000000    ,  10864.79    ,  2798.421    ,  8066.371    ,  8065.713    ,-0.6580357    ,-0.4816113E-02,  13663.21    ,  211166.8    ,  228468.4    , -548.1470    ,-0.2399224    ,-0.2399224    
         0.683,              ,  0.000000    ,  2931.382    ,  11139.79    ,  0.000000    ,  11139.79    ,  2931.382    ,  8208.409    ,  8208.271    ,-0.1379322    ,-0.9802464E-03,  14071.17    ,  219375.0    ,  242539.6    , -548.2849    ,-0.2260600    ,-0.2260600    
         0.700,              ,  0.000000    ,  3072.016    ,  11414.79    ,  0.000000    ,  11414.79    ,  3072.016    ,  8342.775    ,  8341.349    , -1.425917    ,-0.9842865E-02,  14486.81    ,  227716.4    ,  257026.4    , -549.7108    ,-0.2138733    ,-0.2138733    
         0.717,              ,  0.000000    ,  3406.577    ,  11689.79    ,  0.000000    ,  11689.79    ,  3406.577    ,  8283.215    ,  8281.545    , -1.669462    ,-0.1105870E-01,  15096.37    ,  235997.9    ,  272122.8    , -551.3803    ,-0.2026219    ,-0.2026219    
         0.733,              ,  0.000000    ,  3723.578    ,  11964.79    ,  0.000000    ,  11964.79    ,  3723.578    ,  8241.213    ,  8239.626    , -1.586816    ,-0.1011460E-01,  15688.37    ,  244237.6    ,  287811.1    , -552.9671    ,-0.1921285    ,-0.1921285    
         0.750,              ,  0.000000    ,  3788.911    ,  12239.79    ,  0.000000    ,  12239.79    ,  3788.911    ,  8450.880    ,  8448.525    , -2.355501    ,-0.1469552E-01,  16028.70    ,  252686.1    ,  303839.8    , -555.3226    ,-0.1827682    ,-0.1827682    
         0.767,              ,  0.000000    ,  3822.051    ,  12514.79    ,  0.000000    ,  12514.79    ,  3822.051    ,  8692.740    ,  8690.744    , -1.996022    ,-0.1221791E-01,  16336.84    ,  261376.8    ,  320176.7    , -557.3186    ,-0.1740660    ,-0.1740660    
         0.783,              ,  0.000000    ,  3921.093    ,  12789.79    ,  0.000000    ,  12789.79    ,  3921.093    ,  8868.698    ,  8863.404    , -5.293895    ,-0.3167932E-01,  16710.89    ,  270240.2    ,  336887.6    , -562.6125    ,-0.1670031    ,-0.1670031    
         0.800,              ,  0.000000    ,  3961.933    ,  13064.79    ,  0.000000    ,  13064.79    ,  3961.933    ,  9102.859    ,  9098.218    , -4.641238    ,-0.2725855E-01,  17026.72    ,  279338.5    ,  353914.3    , -567.2538    ,-0.1602800    ,-0.1602800    
         0.817,              ,  0.000000    ,  4085.752    ,  13339.79    ,  0.000000    ,  13339.79    ,  4085.752    ,  9254.039    ,  9250.038    , -4.001075    ,-0.2296098E-01,  17425.54    ,  288588.5    ,  371339.8    , -571.2548    ,-0.1538361    ,-0.1538361    
         0.833,              ,  0.000000    ,  4116.719    ,  13614.79    ,  0.000000    ,  13614.79    ,  4116.719    ,  9498.072    ,  9495.733    , -2.339563    ,-0.1319438E-01,  17731.51    ,  298084.2    ,  389071.3    , -573.5944    ,-0.1474265    ,-0.1474265    
         0.850,              ,  0.000000    ,  4271.348    ,  13889.79    ,  0.000000    ,  13889.79    ,  4271.348    ,  9618.443    ,  9615.553    , -2.889880    ,-0.1591244E-01,  18161.14    ,  307699.8    ,  407232.5    , -576.4843    ,-0.1415615    ,-0.1415615    
         0.867,              ,  0.000000    ,  4462.758    ,  14164.79    ,  0.000000    ,  14164.79    ,  4462.758    ,  9702.034    ,  9700.740    , -1.293642    ,-0.6944779E-02,  18627.55    ,  317400.5    ,  425860.0    , -577.7779    ,-0.1356732    ,-0.1356732    
         0.883,              ,  0.000000    ,  4825.656    ,  14439.79    ,  0.000000    ,  14439.79    ,  4825.656    ,  9614.136    ,  9612.661    , -1.474748    ,-0.7654888E-02,  19265.45    ,  327013.2    ,  445125.5    , -579.2527    ,-0.1301324    ,-0.1301324    
         0.900,              ,  0.000000    ,  5204.026    ,  14714.79    ,  0.000000    ,  14714.79    ,  5204.026    ,  9510.765    ,  9511.508    , 0.7431785    , 0.3731037E-02,  19918.82    ,  336524.7    ,  465044.3    , -578.5095    ,-0.1243988    ,-0.1243988    
         0.917,              ,  0.000000    ,  5393.886    ,  14989.79    ,  0.000000    ,  14989.79    ,  5393.886    ,  9595.906    ,  9598.562    ,  2.656144    , 0.1303074E-01,  20383.68    ,  346123.3    ,  485428.0    , -575.8533    ,-0.1186280    ,-0.1186280    
         0.933,              ,  0.000000    ,  5531.472    ,  15264.79    ,  0.000000    ,  15264.79    ,  5531.472    ,  9733.320    ,  9736.601    ,  3.281511    , 0.1577933E-01,  20796.26    ,  355859.9    ,  506224.2    , -572.5718    ,-0.1131064    ,-0.1131064    
