"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.950,              ,  0.000000    ,  5706.187    ,  15539.79    ,  0.000000    ,  15539.79    ,  5706.187    ,  9833.605    ,  9836.821    ,  3.216413    , 0.1513892E-01,  21245.98    ,  365696.7    ,  527470.2    , -569.3554    ,-0.1079408    ,-0.1079408    
         0.967,              ,  0.000000    ,  5906.608    ,  15814.79    ,  0.000000    ,  15814.79    ,  5906.608    ,  9908.184    ,  9912.435    ,  4.250549    , 0.1956849E-01,  21721.40    ,  375609.1    ,  549191.6    , -565.1049    ,-0.1028976    ,-0.1028976    
         0.983,              ,  0.000000    ,  6051.229    ,  16089.79    ,  0.000000    ,  16089.79    ,  6051.229    ,  10038.56    ,  10041.30    ,  2.739471    , 0.1237283E-01,  22141.02    ,  385650.4    ,  571332.6    , -562.3654    ,-0.9843047E-01,-0.9843047E-01
         1.000,              ,  0.000000    ,  6156.457    ,  16364.79    ,  0.000000    ,  16364.79    ,  6156.457    ,  10208.33    ,  10209.84    ,  1.504609    , 0.6680841E-02,  22521.25    ,  395860.2    ,  593853.9    , -560.8608    ,-0.9444424E-01,-0.9444424E-01
         1.017,              ,  0.000000    ,  6248.479    ,  16639.79    ,  0.000000    ,  16639.79    ,  6248.479    ,  10391.31    ,  10393.81    ,  2.496840    , 0.1090882E-01,  22888.27    ,  406254.1    ,  616742.2    , -558.3639    ,-0.9053442E-01,-0.9053442E-01
         1.033,              ,  0.000000    ,  6356.669    ,  16914.79    ,  0.000000    ,  16914.79    ,  6356.669    ,  10558.12    ,  10560.29    ,  2.165354    , 0.9304763E-02,  23271.46    ,  416814.3    ,  640013.6    , -556.1986    ,-0.8690418E-01,-0.8690418E-01
         1.050,              ,  0.000000    ,  6447.671    ,  17189.79    ,  0.000000    ,  17189.79    ,  6447.671    ,  10742.12    ,  10744.00    ,  1.874966    , 0.7932180E-02,  23637.46    ,  427558.3    ,  663651.1    , -554.3236    ,-0.8352636E-01,-0.8352636E-01
         1.067,              ,  0.000000    ,  6484.747    ,  17464.79    ,  0.000000    ,  17464.79    ,  6484.747    ,  10980.04    ,  10980.08    , 0.3591831E-01, 0.1499750E-03,  23949.54    ,  438538.4    ,  687600.6    , -554.2877    ,-0.8061187E-01,-0.8061187E-01
         1.083,              ,  0.000000    ,  6592.878    ,  17739.79    ,  0.000000    ,  17739.79    ,  6592.878    ,  11146.91    ,  11151.41    ,  4.492755    , 0.1846388E-01,  24332.67    ,  449689.8    ,  711933.3    , -549.7950    ,-0.7722563E-01,-0.7722563E-01
         1.100,              ,  0.000000    ,  6929.110    ,  18014.79    ,  0.000000    ,  18014.79    ,  6929.110    ,  11085.68    ,  11092.74    ,  7.062498    , 0.2831352E-01,  24943.90    ,  460782.6    ,  736877.2    , -542.7325    ,-0.7365304E-01,-0.7365304E-01
         1.117,              ,  0.000000    ,  7166.840    ,  18289.79    ,  0.000000    ,  18289.79    ,  7166.840    ,  11122.95    ,  11130.21    ,  7.257540    , 0.2850943E-01,  25456.63    ,  471912.8    ,  762333.8    , -535.4749    ,-0.7024153E-01,-0.7024153E-01
         1.133,              ,  0.000000    ,  7619.701    ,  18564.79    ,  0.000000    ,  18564.79    ,  7619.701    ,  10945.09    ,  10955.46    ,  10.36667    , 0.3959086E-01,  26184.49    ,  482868.2    ,  788518.3    , -525.1082    ,-0.6659430E-01,-0.6659430E-01
         1.150,              ,  0.000000    ,  8119.778    ,  18839.79    ,  0.000000    ,  18839.79    ,  8119.778    ,  10720.01    ,  10728.08    ,  8.063478    , 0.2990952E-01,  26959.57    ,  493596.3    ,  815477.9    , -517.0448    ,-0.6340390E-01,-0.6340390E-01
         1.167,              ,  0.000000    ,  8138.617    ,  19114.79    ,  0.000000    ,  19114.79    ,  8138.617    ,  10976.17    ,  10988.04    ,  11.86415    , 0.4353273E-01,  27253.41    ,  504584.4    ,  842731.3    , -505.1806    ,-0.5994563E-01,-0.5994563E-01
         1.183,              ,  0.000000    ,  8586.616    ,  19389.79    ,  0.000000    ,  19389.79    ,  8586.616    ,  10803.18    ,  10818.40    ,  15.22562    , 0.5442306E-01,  27976.41    ,  515402.8    ,  870707.7    , -489.9550    ,-0.5627089E-01,-0.5627089E-01
         1.200,              ,  0.000000    ,  9079.929    ,  19664.79    ,  0.000000    ,  19664.79    ,  9079.929    ,  10584.86    ,  10603.98    ,  19.11998    , 0.6651649E-01,  28744.72    ,  526006.7    ,  899452.4    , -470.8350    ,-0.5234685E-01,-0.5234685E-01
         1.217,              ,  0.000000    ,  9684.387    ,  19939.79    ,  0.000000    ,  19939.79    ,  9684.387    ,  10255.40    ,  10284.01    ,  28.60846    , 0.9657131E-01,  29624.18    ,  536290.8    ,  929076.6    , -442.2266    ,-0.4759850E-01,-0.4759850E-01
         1.233,              ,  0.000000    ,  10135.03    ,  20214.79    ,  0.000000    ,  20214.79    ,  10135.03    ,  10079.77    ,  10107.67    ,  27.90094    , 0.9193116E-01,  30349.82    ,  546398.4    ,  959426.4    , -414.3256    ,-0.4318472E-01,-0.4318472E-01
         1.250,              ,  0.000000    ,  11068.56    ,  20489.79    ,  0.000000    ,  20489.79    ,  11068.56    ,  9421.235    ,  9451.454    ,  30.21913    , 0.9575639E-01,  31558.35    ,  555849.9    ,  990984.8    , -384.1065    ,-0.3876008E-01,-0.3876008E-01
         1.267,              ,  0.000000    ,  11249.21    ,  20764.79    ,  0.000000    ,  20764.79    ,  11249.21    ,  9515.583    ,  9540.762    ,  25.17914    , 0.7865041E-01,  32014.00    ,  565390.6    ,  1022999.    , -358.9273    ,-0.3508580E-01,-0.3508580E-01
         1.283,              ,  0.000000    ,  11566.90    ,  21039.79    ,  0.000000    ,  21039.79    ,  11566.90    ,  9472.888    ,  9500.549    ,  27.66058    , 0.8483099E-01,  32606.70    ,  574891.2    ,  1055605.    , -331.2668    ,-0.3138168E-01,-0.3138168E-01
         1.300,              ,  0.000000    ,  12036.97    ,  21314.79    ,  0.000000    ,  21314.79    ,  12036.97    ,  9277.818    ,  9307.704    ,  29.88520    , 0.8960605E-01,  33351.76    ,  584198.9    ,  1088957.    , -301.3816    ,-0.2767616E-01,-0.2767616E-01
         1.317,              ,  0.000000    ,  12429.36    ,  21589.79    ,  0.000000    ,  21589.79    ,  12429.36    ,  9160.436    ,  9190.699    ,  30.26328    , 0.8895954E-01,  34019.15    ,  593389.6    ,  1122976.    , -271.1183    ,-0.2414283E-01,-0.2414283E-01
         1.333,              ,  0.000000    ,  12455.54    ,  21864.79    ,  0.000000    ,  21864.79    ,  12455.54    ,  9409.250    ,  9433.041    ,  23.79187    , 0.6932297E-01,  34320.33    ,  602822.6    ,  1157297.    , -247.3264    ,-0.2137105E-01,-0.2137105E-01
         1.350,              ,  0.000000    ,  12738.44    ,  22139.79    ,  0.000000    ,  22139.79    ,  12738.44    ,  9401.355    ,  9432.430    ,  31.07462    , 0.8909460E-01,  34878.23    ,  612255.1    ,  1192175.    , -216.2518    ,-0.1813927E-01,-0.1813927E-01
         1.367,              ,  0.000000    ,  13205.41    ,  22414.79    ,  0.000000    ,  22414.79    ,  13205.41    ,  9209.377    ,  9238.278    ,  28.90056    , 0.8113531E-01,  35620.21    ,  621493.3    ,  1227795.    , -187.3512    ,-0.1525916E-01,-0.1525916E-01
         1.383,              ,  0.000000    ,  13388.99    ,  22689.79    ,  0.000000    ,  22689.79    ,  13388.99    ,  9300.803    ,  9328.344    ,  27.54109    , 0.7633598E-01,  36078.78    ,  630821.7    ,  1263874.    , -159.8101    ,-0.1264447E-01,-0.1264447E-01
         1.400,              ,  0.000000    ,  13479.47    ,  22964.79    ,  0.000000    ,  22964.79    ,  13479.47    ,  9485.323    ,  9511.378    ,  26.05461    , 0.7149166E-01,  36444.26    ,  640333.1    ,  1300318.    , -133.7555    ,-0.1028637E-01,-0.1028637E-01
         1.417,              ,  0.000000    ,  13541.41    ,  23239.79    ,  0.000000    ,  23239.79    ,  13541.41    ,  9698.380    ,  9724.816    ,  26.43523    , 0.7187158E-01,  36781.20    ,  650057.9    ,  1337099.    , -107.3203    ,-0.8026352E-02,-0.8026352E-02
         1.433,              ,  0.000000    ,  13840.71    ,  23514.79    ,  0.000000    ,  23514.79    ,  13840.71    ,  9674.082    ,  9705.745    ,  31.66267    , 0.8476040E-01,  37355.50    ,  659763.6    ,  1374455.    , -75.65763    ,-0.5504555E-02,-0.5504555E-02
         1.450,              ,  0.000000    ,  14190.79    ,  23789.79    ,  0.000000    ,  23789.79    ,  14190.79    ,  9599.006    ,  9628.220    ,  29.21394    , 0.7691810E-01,  37980.58    ,  669391.8    ,  1412435.    , -46.44369    ,-0.3288199E-02,-0.3288199E-02
         1.467,              ,  0.000000    ,  14215.39    ,  24064.79    ,  0.000000    ,  24064.79    ,  14215.39    ,  9849.399    ,  9864.437    ,  15.03805    , 0.3928416E-01,  38280.18    ,  679256.3    ,  1450716.    , -31.40564    ,-0.2164838E-02,-0.2164838E-02
         1.483,              ,  0.000000    ,  14739.29    ,  24339.79    ,  0.000000    ,  24339.79    ,  14739.29    ,  9600.506    ,  9616.967    ,  16.46141    , 0.4212333E-01,  39079.08    ,  688873.2    ,  1489795.    , -14.94423    ,-0.1003107E-02,-0.1003107E-02
         1.500,              ,  0.000000    ,  15028.48    ,  24614.79    ,  0.000000    ,  24614.79    ,  15028.48    ,  9586.309    ,  9602.374    ,  16.06424    , 0.4052197E-01,  39643.27    ,  698475.6    ,  1529438.    ,  1.120002    , 0.7322967E-04, 0.7322967E-04
         1.517,              ,  0.000000    ,  15259.22    ,  24889.79    ,  0.000000    ,  24889.79    ,  15259.22    ,  9630.569    ,  9645.764    ,  15.19585    , 0.3784862E-01,  40149.01    ,  708121.4    ,  1569587.    ,  16.31585    , 0.1039500E-02, 0.1039500E-02
         1.533,              ,  0.000000    ,  15285.93    ,  25164.79    ,  0.000000    ,  25164.79    ,  15285.93    ,  9878.863    ,  9893.941    ,  15.07798    , 0.3727493E-01,  40450.72    ,  718015.3    ,  1610038.    ,  31.39383    , 0.1949882E-02, 0.1949882E-02
         1.550,              ,  0.000000    ,  15693.74    ,  25439.79    ,  0.000000    ,  25439.79    ,  15693.74    ,  9746.049    ,  9762.753    ,  16.70395    , 0.4060907E-01,  41133.53    ,  727778.1    ,  1651171.    ,  48.09778    , 0.2912949E-02, 0.2912949E-02
         1.567,              ,  0.000000    ,  16063.52    ,  25714.79    ,  0.000000    ,  25714.79    ,  16063.52    ,  9651.274    ,  9664.027    ,  12.75298    , 0.3052537E-01,  41778.31    ,  737442.1    ,  1692950.    ,  60.85076    , 0.3594363E-02, 0.3594363E-02
         1.583,              ,  0.000000    ,  16409.87    ,  25989.79    ,  0.000000    ,  25989.79    ,  16409.87    ,  9579.926    ,  9583.418    ,  3.492273    , 0.8236560E-02,  42399.66    ,  747025.5    ,  1735349.    ,  64.34303    , 0.3707786E-02, 0.3707786E-02
         1.600,              ,  0.000000    ,  16700.50    ,  26264.79    ,  0.000000    ,  26264.79    ,  16700.50    ,  9564.294    ,  9559.242    , -5.051661    ,-0.1175754E-01,  42965.29    ,  756584.8    ,  1778315.    ,  59.29137    , 0.3334133E-02, 0.3334133E-02
         1.617,              ,  0.000000    ,  16977.04    ,  26539.79    ,  0.000000    ,  26539.79    ,  16977.04    ,  9562.756    ,  9546.265    , -16.49095    ,-0.3789557E-01,  43516.83    ,  766131.0    ,  1821831.    ,  42.80042    , 0.2349308E-02, 0.2349308E-02
