"Time (h) ","Domain_001:","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","SS V In     ","SS V Out    ","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Q ME (%)    ","Total V     ","Cum V In+Out","Cum V Error ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  139.7917    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  139.7917    ,  139.7910    ,-0.6537638E-03,-0.4676701E-03,  139.7910    ,  139.7917    ,-0.6537638E-03,-0.4676701E-03,-0.4676701E-03
         0.033,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  414.7917    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  414.7917    ,  414.5012    ,-0.2905147    ,-0.7003871E-01,  554.2922    ,  554.5833    ,-0.2911685    ,-0.5250220E-01,-0.5250220E-01
         0.050,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  689.7917    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  689.7917    ,  689.3000    ,-0.4916931    ,-0.7128139E-01,  1243.592    ,  1244.375    ,-0.7828616    ,-0.6291203E-01,-0.6291203E-01
         0.067,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  964.7917    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  964.7917    ,  963.0212    , -1.770514    ,-0.1835125    ,  2206.613    ,  2209.167    , -2.553375    ,-0.1155809    ,-0.1155809    
         0.083,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1239.792    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1239.792    ,  1238.307    , -1.484708    ,-0.1197546    ,  3444.920    ,  3448.958    , -4.038083    ,-0.1170812    ,-0.1170812    
         0.100,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1514.792    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1514.792    ,  1512.445    , -2.347072    ,-0.1549436    ,  4957.365    ,  4963.750    , -6.385156    ,-0.1286357    ,-0.1286357    
         0.117,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1789.792    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1789.792    ,  1788.352    , -1.439193    ,-0.8041120E-01,  6745.717    ,  6753.542    , -7.824349    ,-0.1158555    ,-0.1158555    
         0.133,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2064.792    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2064.792    ,  2062.565    , -2.226309    ,-0.1078225    ,  8808.283    ,  8818.333    , -10.05066    ,-0.1139746    ,-0.1139746    
         0.150,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2339.792    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2339.792    ,  2336.599    , -3.192468    ,-0.1364424    ,  11144.88    ,  11158.12    , -13.24313    ,-0.1186859    ,-0.1186859    
