"WWD_10m_500yr_2Hr_012","Location","Water Level"
"O:\BRS\Projects\bew\BEW457 - DSITIA Daily Rate Flood Modelling\E - Design Technical\E3 - Engineering\Hydraulics\Tuflow\Westwood\runs\WWD_10m_~e~_012.tcf","Time","cap_hwy"
"O:\BRS\Projects\bew\BEW457 - DSITIA Daily Rate Flood Modelling\E - Design Technical\E3 - Engineering\Hydraulics\Tuflow\Westwood\results\design\2d\WWD_10m_500yr_2Hr_012_PO.csv",        0.000000,        154.2215
,        0.016667,        154.2215
,        0.033333,        154.2215
,        0.050000,        154.2215
,        0.066667,        154.2215
,        0.083333,        154.2215
,        0.100000,        154.2215
,        0.116667,        154.2215
,        0.133333,        154.2215
,        0.150000,        154.2215
,        0.166667,        154.2215
,        0.183333,        154.2215
,        0.200000,        154.2215
,        0.216667,        154.2215
,        0.233333,        154.2215
,        0.250000,        154.2215
,        0.266667,        154.2215
,        0.283333,        154.2215
,        0.300000,        154.2215
,        0.316667,        154.2215
,        0.333333,        154.2215
,        0.350000,        154.2215
,        0.366667,        154.2215
,        0.383333,        154.2215
,        0.400000,        154.2215
,        0.416667,        154.2215
,        0.433333,        154.2215
,        0.450000,        154.2215
,        0.466667,        154.2215
,        0.483333,        154.2215
,        0.500000,        154.2215
,        0.516667,        154.6873
,        0.533333,        154.9173
,        0.550000,        155.0352
,        0.566667,        155.1069
,        0.583333,        155.1596
,        0.600000,        155.2059
,        0.616667,        155.2527
,        0.633333,        155.2958
,        0.650000,        155.3344
,        0.666667,        155.3739
,        0.683333,        155.4026
,        0.700000,        155.4539
,        0.716667,        155.4943
,        0.733333,        155.5265
,        0.750000,        155.5563
,        0.766667,        155.5830
,        0.783333,        155.6089
,        0.800000,        155.6354
,        0.816667,        155.6603
,        0.833333,        155.6833
,        0.850000,        155.7045
,        0.866667,        155.7261
,        0.883333,        155.7460
,        0.900000,        155.7668
,        0.916667,        155.7873
,        0.933333,        155.8134
,        0.950000,        155.8326
,        0.966667,        155.8504
,        0.983333,        155.8696
,        1.000000,        155.8853
,        1.016667,        155.9045
,        1.033333,        155.9230
,        1.050000,        155.9361
,        1.066667,        155.9487
,        1.083333,        155.9615
,        1.100000,        155.9739
,        1.116667,        155.9876
,        1.133333,        156.0008
,        1.150000,        156.0160
,        1.166667,        156.0290
,        1.183333,        156.0426
,        1.200000,        156.0560
,        1.216667,        156.0693
,        1.233333,        156.0826
,        1.250000,        156.0959
,        1.266667,        156.1092
,        1.283333,        156.1221
,        1.300000,        156.1348
