"WWD_10m_50yr_2Hr_012","Location","Water Level"
"O:\BRS\Projects\bew\BEW457 - DSITIA Daily Rate Flood Modelling\E - Design Technical\E3 - Engineering\Hydraulics\Tuflow\Westwood\runs\WWD_10m_~e~_012.tcf","Time","cap_hwy"
"O:\BRS\Projects\bew\BEW457 - DSITIA Daily Rate Flood Modelling\E - Design Technical\E3 - Engineering\Hydraulics\Tuflow\Westwood\results\design\2d\WWD_10m_50yr_2Hr_012_PO.csv",        0.000000,        154.2215
,        0.016667,        154.2215
,        0.033333,        154.2215
,        0.050000,        154.2215
,        0.066667,        154.2215
,        0.083333,        154.2215
,        0.100000,        154.2215
,        0.116667,        154.2215
,        0.133333,        154.2215
,        0.150000,        154.2215
,        0.166667,        154.2215
,        0.183333,        154.2215
,        0.200000,        154.2215
,        0.216667,        154.2215
,        0.233333,        154.2215
,        0.250000,        154.2215
,        0.266667,        154.2215
,        0.283333,        154.2215
,        0.300000,        154.2215
,        0.316667,        154.2215
,        0.333333,        154.2215
,        0.350000,        154.2215
,        0.366667,        154.2215
,        0.383333,        154.2215
,        0.400000,        154.2215
,        0.416667,        154.2215
,        0.433333,        154.2215
,        0.450000,        154.2215
,        0.466667,        154.2215
,        0.483333,        154.2215
,        0.500000,        154.2215
,        0.516667,        154.2215
,        0.533333,        154.2215
,        0.550000,        154.2215
,        0.566667,        154.2215
,        0.583333,        154.2215
,        0.600000,        154.2215
,        0.616667,        154.4022
,        0.633333,        154.7120
,        0.650000,        154.8180
,        0.666667,        154.8908
,        0.683333,        154.9522
,        0.700000,        155.0014
,        0.716667,        155.0392
,        0.733333,        155.0723
,        0.750000,        155.0965
,        0.766667,        155.1189
,        0.783333,        155.1381
,        0.800000,        155.1541
,        0.816667,        155.1702
,        0.833333,        155.1844
,        0.850000,        155.1977
,        0.866667,        155.2096
,        0.883333,        155.2209
,        0.900000,        155.2419
,        0.916667,        155.2619
,        0.933333,        155.2759
,        0.950000,        155.2910
,        0.966667,        155.3078
,        0.983333,        155.3224
,        1.000000,        155.3356
,        1.016667,        155.3634
,        1.033333,        155.3788
,        1.050000,        155.3964
,        1.066667,        155.4079
,        1.083333,        155.4271
,        1.100000,        155.4578
,        1.116667,        155.4720
,        1.133333,        155.4890
,        1.150000,        155.5066
,        1.166667,        155.5191
,        1.183333,        155.5310
,        1.200000,        155.5422
,        1.216667,        155.5526
,        1.233333,        155.5649
,        1.250000,        155.5765
,        1.266667,        155.5875
,        1.283333,        155.5993
,        1.300000,        155.6098
,        1.316667,        155.6206
,        1.333333,        155.6312
,        1.350000,        155.6415
,        1.366667,        155.6515
,        1.383333,        155.6611
,        1.400000,        155.6692
,        1.416667,        155.6778
,        1.433333,        155.6867
,        1.450000,        155.6953
,        1.466667,        155.7043
,        1.483333,        155.7135
,        1.500000,        155.7225
,        1.516667,        155.7313
,        1.533333,        155.7400
,        1.550000,        155.7471
,        1.566667,        155.7554
,        1.583333,        155.7642
,        1.600000,        155.7727
,        1.616667,        155.7811
,        1.633333,        155.7951
,        1.650000,        155.8041
,        1.666667,        155.8133
,        1.683333,        155.8222
,        1.700000,        155.8306
,        1.716667,        155.8386
,        1.733333,        155.8470
,        1.750000,        155.8546
,        1.766667,        155.8642
,        1.783333,        155.8714
,        1.800000,        155.8788
,        1.816667,        155.8957
,        1.833333,        155.9036
,        1.850000,        155.9116
,        1.866667,        155.9191
,        1.883333,        155.9262
,        1.900000,        155.9325
,        1.916667,        155.9390
,        1.933333,        155.9465
,        1.950000,        155.9531
,        1.966667,        155.9592
,        1.983333,        155.9657
,        2.000000,        155.9733
,        2.016667,        155.9797
,        2.033333,        155.9862
,        2.050000,        155.9926
,        2.066667,        155.9989
,        2.083333,        156.0053
,        2.100000,        156.0115
,        2.116667,        156.0172
,        2.133333,        156.0229
,        2.150000,        156.0281
,        2.166667,        156.0328
,        2.183333,        156.0372
,        2.200000,        156.0410
,        2.216667,        156.0444
,        2.233333,        156.0472
,        2.250000,        156.0498
,        2.266667,        156.0519
,        2.283333,        156.0536
,        2.300000,        156.0548
,        2.316667,        156.0557
,        2.333333,        156.0563
,        2.350000,        156.0565
,        2.366667,        156.0565
,        2.383333,        156.0561
,        2.400000,        156.0555
,        2.416667,        156.0547
,        2.433333,        156.0537
,        2.450000,        156.0525
,        2.466667,        156.0511
,        2.483333,        156.0495
,        2.500000,        156.0478
,        2.516667,        156.0460
,        2.533333,        156.0441
,        2.550000,        156.0421
,        2.566667,        156.0400
,        2.583333,        156.0378
,        2.600000,        156.0355
,        2.616667,        156.0332
,        2.633333,        156.0307
,        2.650000,        156.0282
,        2.666667,        156.0256
,        2.683333,        156.0229
,        2.700000,        156.0204
,        2.716667,        156.0177
,        2.733333,        156.0150
,        2.750000,        156.0123
,        2.766667,        156.0095
,        2.783333,        156.0068
,        2.800000,        156.0040
,        2.816667,        156.0012
,        2.833333,        155.9985
,        2.850000,        155.9957
,        2.866667,        155.9929
,        2.883333,        155.9901
,        2.900000,        155.9873
,        2.916667,        155.9845
,        2.933333,        155.9817
,        2.950000,        155.9789
,        2.966667,        155.9761
,        2.983333,        155.9733
,        3.000000,        155.9705
,        3.016667,        155.9677
,        3.033333,        155.9647
,        3.050000,        155.9617
,        3.066667,        155.9588
,        3.083333,        155.9559
,        3.100000,        155.9530
,        3.116667,        155.9502
,        3.133333,        155.9474
,        3.150000,        155.9445
,        3.166667,        155.9417
,        3.183333,        155.9388
,        3.200000,        155.9359
,        3.216667,        155.9330
,        3.233333,        155.9302
,        3.250000,        155.9270
,        3.266667,        155.9232
,        3.283333,        155.9201
,        3.300000,        155.9170
,        3.316667,        155.9140
,        3.333333,        155.9110
,        3.350000,        155.9079
,        3.366667,        155.9049
,        3.383333,        155.9026
,        3.400000,        155.8997
,        3.416667,        155.8968
,        3.433333,        155.8939
,        3.450000,        155.8910
,        3.466667,        155.8881
,        3.483333,        155.8851
,        3.500000,        155.8821
,        3.516667,        155.8791
,        3.533333,        155.8761
,        3.550000,        155.8738
,        3.566667,        155.8707
,        3.583333,        155.8677
,        3.600000,        155.8646
,        3.616667,        155.8621
,        3.633333,        155.8588
,        3.650000,        155.8556
,        3.666667,        155.8523
,        3.683333,        155.8490
,        3.700000,        155.8455
,        3.716667,        155.8420
,        3.733333,        155.8385
,        3.750000,        155.8348
,        3.766667,        155.8311
,        3.783333,        155.8259
,        3.800000,        155.8222
,        3.816667,        155.8179
,        3.833333,        155.8137
,        3.850000,        155.8095
,        3.866667,        155.8061
,        3.883333,        155.8019
,        3.900000,        155.7907
,        3.916667,        155.7839
,        3.933333,        155.7783
,        3.950000,        155.7730
,        3.966667,        155.7633
,        3.983333,        155.7565
,        4.000000,        155.7502
,        4.016667,        155.7435
,        4.033333,        155.7375
,        4.050000,        155.7319
,        4.066667,        155.7263
,        4.083333,        155.7208
,        4.100000,        155.7152
,        4.116667,        155.7096
,        4.133333,        155.7039
,        4.150000,        155.6983
,        4.166667,        155.6926
,        4.183333,        155.6870
,        4.200000,        155.6813
,        4.216667,        155.6755
,        4.233333,        155.6626
,        4.250000,        155.6546
,        4.266667,        155.6474
,        4.283333,        155.6404
,        4.300000,        155.6338
,        4.316667,        155.6276
,        4.333333,        155.6217
,        4.350000,        155.6160
,        4.366667,        155.6103
,        4.383333,        155.6048
,        4.400000,        155.5995
,        4.416667,        155.5943
,        4.433333,        155.5891
,        4.450000,        155.5849
,        4.466667,        155.5797
,        4.483333,        155.5753
,        4.500000,        155.5704
,        4.516667,        155.5649
,        4.533333,        155.5596
,        4.550000,        155.5543
,        4.566667,        155.5490
,        4.583333,        155.5438
,        4.600000,        155.5384
,        4.616667,        155.5345
,        4.633333,        155.5290
,        4.650000,        155.5238
,        4.666667,        155.5180
,        4.683333,        155.5119
,        4.700000,        155.5064
,        4.716667,        155.5010
,        4.733333,        155.4960
,        4.750000,        155.4906
,        4.766667,        155.4846
,        4.783333,        155.4789
,        4.800000,        155.4729
,        4.816667,        155.4674
,        4.833333,        155.4619
,        4.850000,        155.4612
,        4.866667,        155.4605
,        4.883333,        155.4564
,        4.900000,        155.4518
,        4.916667,        155.4469
,        4.933333,        155.4414
,        4.950000,        155.4345
,        4.966667,        155.4292
,        4.983333,        155.4232
,        5.000000,        155.4172
,        5.016667,        155.4113
,        5.033333,        155.4062
,        5.050000,        155.3905
,        5.066667,        155.3833
,        5.083333,        155.3761
,        5.100000,        155.3696
,        5.116667,        155.3589
,        5.133333,        155.3517
,        5.150000,        155.3443
,        5.166667,        155.3357
,        5.183333,        155.3323
,        5.200000,        155.3244
,        5.216667,        155.3169
,        5.233333,        155.3101
,        5.250000,        155.3065
,        5.266667,        155.3000
,        5.283333,        155.2916
,        5.300000,        155.2845
,        5.316667,        155.2783
,        5.333333,        155.2729
,        5.350000,        155.2678
